Programme,Link,Topic,Title,Deadline,Type,Budget,Main responsible,Others involved,Related work,Priority,Actions,Status
"Smart, green and integrated transport",,MG-2.4-2019 ,Safety in an evolving road and mobility environment,2019,RIA,,,,,,No action,
"Smart, green and integrated transport",,MG-2.6-2019,Innovative applications for drones for transport safety,2019,RIA-IA,,,,,Low,No action,IH check with Trond Bakken
"Smart, green and integrated transport",,MG-2.1-2018,Human Factors in Transport Safety,30-Jan-18,RIA,,IH,"SINTEF T&S, Safety & Transport, MB","Previous work within resilience, safety",Low,No action,We have been invited to prepare a consortium late October. This is considered too late to prepare a solid proposal
"Smart, green and integrated transport",,DT-ART-04-2019,"Developing and testing shared, connected and cooperative automated vehicle fleets in urban areas for the mobility of all",24-Apr-19,IA,15-300 mill,JG&MKN,,The DRIVERS proposal,,,
"Smart, green and integrated transport",,LC-GV-03-2019, User centric charging infrastructure,24-Apr-19,IA,8-15 mill,SJ,,The GreenCharge proposal,,,
"Smart, green and integrated transport",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/lc-mg-1-10-2019.html,LC-MG-1-10-2019,Logistics solutions that deal with requirements of the 'on demand economy' and for shared-connected and low-emission logistics operations,16. January 2019 (Stage 1) + 12 September 2019 (stage 2),RIA,2-4M,MKN,,"The dLogistics proposal, but must have another consortium",,,
"Smart, green and integrated transport",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/mg-2-9-2019.html,MG-2-9-2019,"Inco Flagship: Integrated multimodal, low-emission freight transport systems and logistics",Deadline: 16. January 2019 (Stage 1) + 12 September 2019 (stage 2),RIA-IA,3-7M,MKN,,"The dLogistics proposal, but also many other interesting issues.",,,
"Smart, green and integrated transport",,MG-2.2-2018 ,Marine Accident Response,,RIA-IA,,,,DARWIN and previous aviation & oil & gas projects on indicators,,No action,
"Secure, clean and efficient energy",,LC-SC3-ES-3-2018-2020,Integrated local energy systems (Energy islands).,5-Apr-18,IA,5-6 mill,SJ,,"the CoSSMic project and the rejected DOMINOES proposal. Was contacted by UiO for possible ""DOMINOES revival""",,Waiting for feedback,"UiO leads. Shanshan was contacted by UiO for possible ""DOMINOES revival"""
"Secure, clean and efficient energy",,LC-SC3-EE-4-2019-2020,Upgrading smartness of existing buildings through innovations for legacy equipment,Sep-19,IA,"10M, Projects 3-4M",BF&TV,,Cossmic. ,,Ongoing,Nicola from SINTEF Byggforsk has contacted Babak and Thomas for discussing a proposal
"Secure, clean and efficient energy",,LC-SC3-RES-4-2018,Renewable energy system integrated at the building scale.,31 Jan 2018 and 24 August 2018,RIA,2-5 mill,SJ,,"the CoSSMic project and the rejected DOMINOES proposal. Was contacted by UiO for possible ""DOMINOES revival""",,Waiting for feedback,"UiO leads. Shanshan was contacted by UiO for possible ""DOMINOES revival"""
"Secure, clean and efficient energy",,LC-SC3-SCC-1-2018-2019-2020,Smart Cities and Communities..,5 April 2018 and 05 Feb 2019,IA,15-20 mill,CV,,here is already plan for proposals that SINTEF will be partner together with Trondheim and Oslo. Christina is the contact person from our side,,Ongoing,
